1       1.10
2       2.28
4       4.66
8       9.43
16      18.96
32      37.95
64      76.10
128     152.17
256     304.07
512     606.14
1,024   1,214.68
2,048   2,357.45
4,096   4,637.98
8,192   8,300.73
